	Part 3
Cache Size: 512
I_Cache	D_Cache	n-way
51.1	20.7	1
49.5	17.9	2
48.9	15.4	4
48.5	13.6	8
Cache Size: 1024
I_Cache	D_Cache	n-way
39.8	16.5	1
38.0	14.0	2
36.1	11.8	4
35.3	10.3	8
Cache Size: 2048
I_Cache	D_Cache	n-way
24.7	12.9	1
21.8	11.0	2
19.6	9.4	4
17.5	8.2	8
Cache Size: 4096
I_Cache	D_Cache	n-way
15.1	11.6	1
11.4	9.6	2
8.6	8.2	4
7.0	7.1	8
Cache Size: 8192
I_Cache	D_Cache	n-way
8.3	11.3	1
5.5	9.2	2
4.1	7.4	4
3.4	6.4	8
Cache Size: 16384
I_Cache	D_Cache	n-way
4.6	10.4	1
3.2	8.6	2
2.5	6.9	4
2.2	6.0	8
Cache Size: 32768
I_Cache	D_Cache	n-way
2.6	10.2	1
1.9	8.4	2
1.6	6.7	4
1.5	5.8	8
Cache Size: 65536
I_Cache	D_Cache	n-way
1.3	10.1	1
1.2	8.3	2
1.2	6.6	4
1.2	5.8	8
Cache Size: 131072
I_Cache	D_Cache	n-way
1.2	10.0	1
1.2	8.2	2
1.1	6.6	4
1.1	5.7	8
Cache Size: 262144
I_Cache	D_Cache	n-way
1.1	10.0	1
1.1	8.2	2
1.1	6.6	4
1.1	5.7	8
Cache Size: 524288
I_Cache	D_Cache	n-way
1.1	10.0	1
1.1	8.2	2
1.1	6.6	4
1.1	5.7	8
Cache Size: 1048576
I_Cache	D_Cache	n-way
1.1	10.0	1
1.1	8.2	2
1.1	6.6	4
1.1	5.7	8
